id,title,year,genre,description,difficulty
1,Sholay,1975,Action/Drama,Two ex-convicts are hired by a retired cop to capture a ruthless bandit.,easy
2,Dangal,2016,Sports/Drama,A former wrestler trains his daughters to become world-class wrestlers.,easy
3,Pushpa: The Rise,2021,Action/Crime,A laborer rises through the ranks of a red sandalwood smuggling syndicate.,medium
4,Baahubali,2015,Fantasy/Action,A brave man learns about his royal heritage and seeks to reclaim his kingdom.,easy
5,3 Idiots,2009,Comedy/Drama,Two friends search for their long-lost companion while recalling college days.,easy
6,Lagaan,2001,Sports/Drama,Villagers bet their future on a game of cricket against British officers.,easy
7,PK,2014,Sci-Fi/Comedy,An alien stranded on Earth asks innocent questions that challenge religion.,easy
8,KGF: Chapter 1,2018,Action/Crime,A high-profile assassin goes undercover as a slave in a gold mine.,medium
9,Kabir Singh,2019,Romance/Drama,A brilliant surgeon spirals into self-destruction after losing his love.,easy
10,Queen,2013,Comedy/Drama,A girl goes on her honeymoon alone after her fiancé cancels the wedding.,easy
11,Drishyam,2015,Thriller,A common man uses his knowledge of films to protect his family from a crime.,easy
12,Andhadhun,2018,Thriller/Comedy,A piano player pretending to be blind gets caught in a murder mystery.,easy
13,Bajrangi Bhaijaan,2015,Drama/Action,A man tries to reunite a mute Pakistani girl with her family across the border.,medium
14,Stree,2018,Horror/Comedy,A town lives in fear of a spirit that kidnaps men at night during a festival.,easy
15,Dilwale Dulhania Le Jayenge,1995,Romance,A young man tries to win over the conservative father of the girl he loves.,hard
16,Jawan,2023,Action,A man sets out to rectify the wrongs in society with a team of women.,easy
17,Pathaan,2023,Action/Spy,An exiled RAW agent comes back to stop a private terror group.,easy
18,Animal,2023,Action/Crime,A son's obsessive love for his father leads to a violent underworld war.,easy
19,Lage Raho Munna Bhai,2006,Comedy/Drama,"A local goon starts seeing Mahatma Gandhi and uses ""Gandhigiri"" to solve problems.",medium
20,Chak De! India,2007,Sports,A disgraced hockey player coaches the Indian women's team to victory.,medium
21,Gadar: Ek Prem Katha,2001,Action/Drama,A truck driver falls in love with a Muslim girl during the partition of India.,medium
22,Bhool Bhulaiyaa,2007,Horror/Comedy,"A psychologist is called to a palace to solve a mystery involving a ""ghost.""",medium
