id,title,year,genre,description,difficulty,language
1,Aankhen,2002,Heist,A bank manager recruits three blind men to rob his own bank.,easy,english
2,Khakee,2004,Action,A police team escorting a terrorist from a small town to Mumbai.,easy,english
3,Dhol,2007,Comedy,Four lazy friends try to woo a rich girl but get mixed up in a plot.,easy,english
4,Aamir,2008,Thriller,A man returning from London is forced to carry out a terrorist task.,easy,english
5,Bypass Road,2019,Thriller,A fashion designer becomes a murder suspect after a paralyzing accident.,easy,english
6,Panga,2020,Sports,A former kabaddi player makes a comeback after starting a family.,easy,english
7,Mimi,2021,Drama,A young woman in Rajasthan decides to be a surrogate for a foreign couple.,easy,english
8,Tribhanga,2021,Family,A dysfunctional family of three generations of women deals with their past.,easy,english
9,Pagglait,2021,Comedy,A young widow struggles to feel grief after her husband's sudden death.,easy,english
10,Haseen Dillruba,2021,Mystery,A woman is suspected of murdering her husband while his secrets emerge.,easy,english
11,A Thursday,2022,Thriller,A playschool teacher takes children hostage and makes a set of demands.,easy,english
12,"Monica, O My Darling",2022,Neo-Noir,A robotics expert joins a murderous plot after an affair goes wrong.,easy,english
13,Freddy,2022,Thriller,A shy dentist becomes obsessed with a woman and turns into a dark stalker.,easy,english
14,Chhatriwali,2023,Social,A chemistry genius promotes sex education in a small town.,easy,english
15,Zwigato,2023,Social,A man loses his job and becomes a food delivery rider to survive.,easy,english
16,Lust Stories 2,2023,Romance,Four short stories exploring modern relationships and human desires.,easy,english
17,Jaane Jaan,2023,Mystery,"A single mother is involved in a crime, and a neighbor helps cover it.",easy,english
18,Khufiya,2023,Spy,An Indian agent is tasked with finding a mole within the agency.,easy,english
19,Kill,2024,Action,Two soldiers face off against a massive gang of bandits on a train.,easy,english
20,Auron Mein Kahan Dum Tha,2024,Romance,"An epic love story spanning two decades, focusing on sacrifice.",easy,english
21,Ulajh,2024,Spy,A young diplomat is embroiled in a conspiracy at a foreign embassy.,easy,english
22,Khel Khel Mein,2024,Comedy,Friends at a dinner party play a game where they reveal phone secrets.,easy,english
23,The Heist,2025,Action,A group of specialists plans a robbery of a high-security diamond vault.,easy,english
24,Red Carpet,2025,Mystery,A movie star's life is ruined after a scandal at a film festival.,easy,english
25,The Last Stand,2026,War,A group of soldiers defends an outpost against an overwhelming force.,easy,english
26,Hidden Path,2026,Fantasy,A young man finds a portal to a world where ancient myths are real.,easy,english
27,The Strategist,2025,Political,A brilliant advisor manipulates an election for a high-profile client.,easy,english
28,Cyber Hunt,2026,Sci-Fi,A hacker is hired by the government to stop a global cyber-terrorist.,easy,english
29,The Lost City,2025,Adventure,An archaeologist discovers the ruins of a city not found on any maps.,easy,english
30,Shadow Boxer,2026,Sports,A boxer from the slums fights his way to a national championship.,easy,english
31,The Deal,2025,Thriller,"A drug deal goes wrong, leading to a cat-and-mouse game with police.",easy,english
32,Wild Trails,2026,Adventure,A wildlife photographer gets lost in the jungle and must survive.,easy,english
33,Black Out,2024,Thriller,"A city faces a total power outage, and strangers must survive the chaos.",easy,english
34,The Architect,2025,Drama,A man dreams of building a structure that will change the skyline.,easy,english
35,Code Name: Fire,2026,Spy,An agent goes undercover to stop a weapon of mass destruction.,easy,english
36,The Investigator,2025,Mystery,A detective is called to solve a murder in a secluded forest mansion.,easy,english
37,Deep Waters,2026,Adventure,A salvage team discovers a sunken ship with a mysterious ancient cargo.,easy,english
38,The Candidate,2025,Political,An honest man decides to run for office to clean up a corrupt system.,easy,english
39,Neon Nights,2026,Sci-Fi,A story of love and loss in a future city run by advanced technology.,easy,english
40,The Outcast,2025,Drama,A man returns home after years in prison and seeks local acceptance.,easy,english
41,Velocity,2026,Sports,A street racer is recruited for a high-stakes illegal underground race.,easy,english
42,The Inheritance,2025,Mystery,"A family gathers for a will reading, but dark secrets start to emerge.",easy,english
43,Echoes of the Past,2026,Mystery,A woman discovers a letter that reveals a truth about her family history.,easy,english
44,The Healer,2025,Fantasy,A man discovers he has the power to heal people with his touch.,easy,english
45,Urban Jungle,2026,Crime,A cop takes on a powerful gang that controls a section of the city.,easy,english
46,The Script,2025,Comedy,A writer's script accidentally gets into the hands of a superstar.,easy,english
47,Undercurrent,2026,Thriller,A group on a boat trip realizes one of their friends is a killer.,easy,english
48,The Collector,2025,Horror,An antique collector finds an ancient object that is cursed.,easy,english
49,Final Call,2026,Thriller,A pilot must land a plane after the entire crew is incapacitated.,easy,english
50,The Guardian,2025,Action,A bodyguard is assigned to protect a child who is heir to a fortune.,easy,english
51,Titanic,1997,Romance/Drama,A rich girl and a poor artist fall in love on a doomed luxury ship.,easy,english
52,Jurassic Park,1993,Sci-Fi/Adventure,Scientists visit a theme park where cloned dinosaurs have escaped.,easy,english
53,The Lion King,1994,Animation/Family,A young lion prince must reclaim his throne from his evil uncle.,easy,english
54,Avatar,2009,Sci-Fi/Action,A paraplegic Marine joins an alien race to protect their home planet.,easy,english
55,Spider-Man,2002,Action/Superhero,A teenager gets superpowers from a spider bite and fights crime.,easy,english
56,Jaws,1975,Thriller/Horror,A giant great white shark begins attacking people at a beach resort.,easy,english
57,Harry Potter,2001,Fantasy/Adventure,An orphaned boy discovers he is a famous wizard and goes to a magic school.,easy,english
58,Star Wars,1977,Sci-Fi/Fantasy,A farm boy joins a rebellion to stop a galactic empire and a dark lord.,easy,english
59,Home Alone,1990,Comedy/Family,An 8-year-old boy is accidentally left home and must fight off burglars.,easy,english
60,Frozen,2013,Animation/Musical,A princess goes on a journey to find her sister who has ice powers.,easy,english
61,The Dark Knight,2008,Action/Superhero,Batman faces his greatest challenge against the chaotic Joker.,easy,english
62,Toy Story,1995,Animation/Family,A group of toys comes to life when their owner isn't looking.,easy,english
63,Ghostbusters,1984,Comedy/Sci-Fi,Three men start a business catching ghosts in New York City.,easy,english
64,The Avengers,2012,Action/Superhero,A group of the world's greatest heroes team up to save Earth.,easy,english
65,Shrek,2001,Animation/Comedy,A grumpy ogre goes on a quest to rescue a princess to get his land back.,easy,english
66,Batman,1989,Action/Superhero,A billionaire dresses as a bat to fight the criminals of Gotham City.,easy,english
67,Iron Man,2008,Action/Superhero,A wealthy inventor builds a high-tech suit of armor to fight evil.,easy,english
68,Finding Nemo,2003,Animation/Family,A clownfish journeys across the ocean to find his missing son.,easy,english
69,The Matrix,1999,Sci-Fi/Action,A hacker discovers that humanity is living in a computer simulation.,easy,english
70,Pirates of the Caribbean,2003,Action/Adventure,A quirky pirate tries to reclaim his ship from his cursed former crew.,easy,english
71,Forrest Gump,1994,Drama/Romance,A simple man witnesses and influences major historical events in the US.,easy,english
72,Superman,1978,Action/Superhero,An alien from a dying planet grows up to be Earth's greatest hero.,easy,english
73,Men in Black,1997,Sci-Fi/Comedy,Two secret agents monitor and police alien activity on Earth.,easy,english
74,Gladiator,2000,Action/Drama,A Roman general is betrayed and becomes a gladiator to seek revenge.,easy,english
75,Braveheart,1995,History/Action,A Scottish warrior leads a rebellion against an oppressive English King.,easy,english
76,King Kong,2005,Adventure/Fantasy,A giant ape is captured from a mysterious island and brought to NYC.,easy,english
77,Godzilla,2014,Action/Sci-Fi,A giant prehistoric monster rises from the sea to fight other monsters.,easy,english
78,Despicable Me,2010,Animation/Comedy,A supervillain tries to steal the moon but is softened by three orphan girls.,easy,english
79,Minions,2015,Animation/Comedy,"Small, yellow creatures search for the most evil master to serve.",easy,english
80,The Incredibles,2004,Animation/Superhero,A family of undercover superheroes is forced back into action to save the world.,easy,english
81,The Godfather,1972,Crime/Drama,The aging patriarch of a mafia family transfers power to his youngest son.,easy,english
82,Back to the Future,1985,Sci-Fi/Comedy,A teenager is sent back to 1955 in a time-traveling car built by a scientist.,easy,english
83,E.T. the Extra-Terrestrial,1982,Sci-Fi/Family,A lonely boy befriends an alien who is stranded on Earth.,easy,english
84,The Terminator,1984,Sci-Fi/Action,A cyborg assassin is sent from the future to kill a woman.,easy,english
85,Indiana Jones,1981,Adventure/Action,An archaeologist searches for ancient artifacts while fighting villains.,easy,english
86,Terminator 2,1991,Sci-Fi/Action,A reprogrammed cyborg is sent to protect a young boy from a new threat.,easy,english
87,Mission: Impossible,1996,Action/Spy,A secret agent must clear his name after being framed for a crime.,easy,english
88,Fast & Furious,2001,Action/Crime,An undercover cop infiltrates a street racing gang to solve a heist.,easy,english
89,Wonder Woman,2017,Action/Superhero,An Amazonian princess leaves her island to stop a global war.,easy,english
90,Black Panther,2018,Action/Superhero,"A new king must defend his hidden, high-tech nation from a rival.",easy,english
91,Deadpool,2016,Action/Comedy,A mercenary with healing powers hunts down the man who disfigured him.,easy,english
92,John Wick,2014,Action/Thriller,A retired hitman comes out of retirement to find the men who stole his car.,easy,english
93,The Hunger Games,2012,Sci-Fi/Thriller,Teenagers are forced to fight to the death in a televised survival game.,easy,english
94,Joker,2019,Crime/Drama,A failed comedian spirals into madness and becomes a symbol of chaos.,easy,english
95,Interstellar,2014,Sci-Fi/Drama,Astronauts travel through a wormhole to find a new home for humanity.,easy,english
96,Inception,2010,Sci-Fi/Action,A thief who enters people's dreams is hired to plant an idea in a mind.,easy,english
97,Avatar: The Way of Water,2022,Sci-Fi/Action,Jake Sully and his family seek refuge with an ocean-dwelling tribe.,easy,english
98,Inside Out,2015,Animation/Family,The personified emotions of a young girl try to help her navigate a move.,easy,english
99,Zootopia,2016,Animation/Comedy,A bunny cop and a con-artist fox team up to solve a missing mammal case.,easy,english
100,Coco,2017,Animation/Family,A young boy travels to the Land of the Dead to find his musician ancestor.,easy,english
101,Moana,2016,Animation/Adventure,A brave girl sails across the ocean to save her island with a demigod.,easy,english
102,Up,2009,Animation/Adventure,An elderly man flies his house to South America using thousands of balloons.,easy,english
103,Ratatouille,2007,Animation/Comedy,A rat who loves to cook becomes a secret chef in a famous French restaurant.,easy,english
104,Cars,2006,Animation/Comedy,A hotshot racing car gets stranded in a small town and learns about life.,easy,english
105,Madagascar,2005,Animation/Comedy,Zoo animals are shipwrecked on an island and must learn to live in the wild.,easy,english
106,Kung Fu Panda,2008,Animation/Action,"A clumsy panda is chosen as the ""Dragon Warrior"" to save his valley.",easy,english
107,How to Train Your Dragon,2010,Animation/Adventure,A young Viking befriends a dragon instead of hunting it.,easy,english
108,Ice Age,2002,Animation/Comedy,"A mammoth, a sloth, and a saber-tooth tiger try to return a human baby.",easy,english
109,Cinderella,1950,Animation/Romance,A girl mistreated by her stepfamily attends a royal ball with magic.,easy,english
110,Aladdin,1992,Animation/Fantasy,A street urchin finds a magic lamp with a genie who grants three wishes.,easy,english
111,Beauty and the Beast,1991,Animation/Romance,A bright girl is taken prisoner by a beast in his enchanted castle.,easy,english
112,Mulan,1998,Animation/Action,A girl disguises herself as a man to join the army in her father's place.,easy,english
113,The Little Mermaid,1989,Animation/Romance,A mermaid princess makes a deal with a sea witch to become human.,easy,english
114,Peter Pan,1953,Animation/Fantasy,A boy who can fly takes children to a magical world where they never grow up.,easy,english
115,Tarzan,1999,Animation/Adventure,A man raised by apes in the jungle discovers his human heritage.,easy,english
116,Hercules,1997,Animation/Fantasy,A demigod must prove he is a true hero to regain his immortality.,easy,english
117,Lilo & Stitch,2002,Animation/Comedy,"A lonely girl adopts a destructive alien ""dog"" and teaches him about family.",easy,english
118,Tangeld,2010,Animation/Musical,A princess with long magical hair escapes her tower with a charming thief.,easy,english
119,Enchanted,2007,Comedy/Fantasy,A fairytale princess is sent to modern-day New York City by an evil queen.,easy,english
120,Mary Poppins,1964,Family/Fantasy,A magical nanny arrives to help a strict father and his two children.,easy,english
121,The Sound of Music,1965,Musical/Drama,A nun becomes a governess for seven children and teaches them to sing.,easy,english
122,The Wizard of Oz,1939,Fantasy/Adventure,A girl is swept away to a magical land and seeks the help of a wizard.,easy,english
123,Singin' in the Rain,1952,Musical/Comedy,A silent film star falls in love during Hollywood's transition to talking movies.,easy,english
124,Grease,1978,Musical/Romance,Two teenagers have a summer romance and reunite at the same high school.,easy,english
125,Rocky,1976,Sports/Drama,A small-time boxer gets a once-in-a-lifetime shot at the heavyweight title.,easy,english
126,Top Gun,1986,Action/Drama,A hotshot pilot is sent to an elite flight school to sharpen his skills.,easy,english
127,Top Gun: Maverick,2022,Action/Drama,A veteran pilot returns to train a group of young pilots for a mission.,easy,english
128,Die Hard,1988,Action/Thriller,A cop must save his wife and others taken hostage in a skyscraper.,easy,english
129,Lethal Weapon,1987,Action/Crime,Two polar-opposite detectives are paired up to solve a murder case.,easy,english
130,Rambo,1982,Action/Thriller,A former soldier uses his survival skills to fight a small-town police force.,easy,english
131,Aliens,1986,Sci-Fi/Action,A survivor of an alien attack returns to the planet with a group of soldiers.,easy,english
132,Predator,1987,Action/Sci-Fi,A team of commandos is hunted by an invisible alien in the jungle.,easy,english
133,RoboCop,1987,Action/Sci-Fi,A murdered cop is brought back to life as a powerful cyborg to fight crime.,easy,english
134,Ghost,1990,Romance/Fantasy,A murdered man's spirit stays behind to protect his girlfriend from danger.,easy,english
135,Pretty Woman,1990,Romance/Comedy,A wealthy businessman hires an escort to attend social events with him.,easy,english
136,Dirty Dancing,1987,Romance/Drama,A girl falls in love with her dance instructor at a summer resort.,easy,english
137,The Mask,1994,Comedy/Fantasy,"A shy man finds a magical mask that turns him into a wild, cartoonish hero.",easy,english
138,Ace Ventura,1994,Comedy,A quirky detective specializes in finding missing animals and pets.,easy,english
139,Dumb and Dumber,1994,Comedy,Two dim-witted friends travel cross-country to return a briefcase.,easy,english
140,Mrs. Doubtfire,1993,Comedy/Drama,A divorced father disguises himself as an elderly nanny to see his kids.,easy,english
141,Space Jam,1996,Animation/Sports,A basketball legend teams up with cartoon characters for a game.,easy,english
